entry_id,category_id,symptom,likely_cause,check_or_fix,fix_role,buy_needed,checklist_role_ref,confidence,source,reviewed_by,reviewed_on,notes
T0103,rt_qpcr,所有样本都没有 Ct 值 / no Ct in any sample,RNA 降解或逆转录失败 / RNA degraded or reverse transcription failed,检查 RNA 完整性（A260/280、胶）；换新鲜逆转录酶重做 cDNA / check RNA integrity; remake cDNA with fresh reverse transcriptase,rt_enzyme,yes,,drafted,model,,,
T0104,rt_qpcr,某对引物完全不扩增 / one primer pair never amplifies,引物设计有误或效率低 / primers mis-designed or inefficient,用标准曲线验证引物效率（90–110%）；不合格则重新设计 / validate efficiency with a standard curve and redesign if outside 90–110%,primers,yes,rt_qpcr:primers,drafted,checklist,,,
T0105,rt_qpcr,所有样本 Ct 都很晚（>35）/ late Ct (>35) in every sample,模板太少或提取残留抑制物（酚、乙醇）/ too little template or carried-over inhibitors,重新纯化 RNA；稀释模板看 Ct 是否反而提前 / re-purify the RNA; dilute the template and see whether Ct improves,rna_extraction_kit,sometimes,,drafted,model,,,
T0106,rt_qpcr,熔解曲线多峰 / multiple peaks in the melt curve,非特异扩增或引物二聚体（SYBR）/ non-specific amplification or primer dimers with SYBR,重新设计引物或提高退火温度；必要时改用 TaqMan 探针 / redesign primers or raise annealing temperature; consider a TaqMan probe,primers,yes,rt_qpcr:detection_chemistry,drafted,checklist,,,
T0107,rt_qpcr,内参基因 Ct 随处理变化（如 GAPDH 在处理组和对照组之间不同）/ reference gene Ct shifts with treatment (GAPDH Ct changes between treated and untreated),该管家基因在此条件下不稳定 / the housekeeping gene is not stable under this condition,测试 2–3 个内参基因，选在你的条件下最稳定的 / test two or three reference genes and keep the stable one,reference_gene,yes,rt_qpcr:reference_gene,drafted,checklist,,,
T0108,rt_qpcr,复孔之间差异大 / high variability between technical replicates,移液误差、体积太小、气泡 / pipetting error or tiny volumes or bubbles,配预混液再分装；反应体积不低于 10 µL；上机前离心 / make a master mix; keep reactions at 10 µL or more; spin the plate,pipette_tips,no,,drafted,model,,,
T0109,rt_qpcr,表达倍数结果不合理 / fold-change results make no sense,未用内参归一化，或引物效率不同 / no reference-gene normalisation or unequal primer efficiencies,用 ΔΔCt 并用验证过效率的引物；确认内参稳定 / use ΔΔCt with efficiency-validated primers; confirm the reference gene is stable,reference_gene,yes,rt_qpcr:reference_gene,drafted,checklist,,,
T0110,rt_qpcr,基因组 DNA 样本也能扩增 / genomic DNA template also amplifies,引物不跨外显子连接处 / primers do not span an exon junction,重新设计跨外显子-外显子连接的引物 / redesign primers across an exon-exon junction,primers,yes,rt_qpcr:primers,drafted,checklist,,,
T0111,rt_qpcr,RNA 产量低 / low RNA yield,样本量少、裂解不完全或 RNase 污染 / small sample or incomplete lysis or RNase contamination,全程无 RNase 操作；选择适合该样本类型的提取试剂盒 / RNase-free workflow throughout; choose an extraction kit suited to the sample type,rna_extraction_kit,yes,,drafted,model,,,
T0112,rt_qpcr,扩增曲线形状异常或提前平台 / abnormal or early-plateau amplification curves,仪器染料通道与检测化学不匹配，或封板膜问题 / dye channel does not match the chemistry or plate seal issue,确认仪器通道与 SYBR/探针一致；用光学封板膜 / confirm the instrument channel matches SYBR or the probe; use optical seals,detection_chemistry,sometimes,,drafted,model,,,
T0201,elisa,整板包括标准品都没有信号 / no signal in any well including standards,底物或 HRP 失活、读数波长错误、未加终止液 / substrate or HRP inactive or wrong wavelength or no stop solution,换新鲜 TMB；加终止液后在 450 nm 读数 / use fresh TMB; read at 450 nm after adding stop solution,tmb_substrate,yes,,drafted,model,,,
T0202,elisa,标准品正常但样本无信号 / standards work but samples give no signal,样本浓度低于检测范围或基质效应 / analyte below range or matrix effect,减少稀释倍数；标准品用与样本相同的基质稀释 / dilute less; prepare standards in the same matrix as the samples,sample_diluent,yes,elisa:sample_diluent,drafted,checklist,,,
T0203,elisa,整板背景高 / high background across the plate,洗涤或封闭不足 / insufficient washing or blocking,增加洗涤次数、每次浸泡 30 s；检查洗涤液配方 / add wash cycles with a 30 s soak; check the wash buffer,wash_buffer,sometimes,,drafted,model,,,
T0204,elisa,空白孔读数高 / blank wells read high,检测抗体浓度过高或 TMB 见光 / detection antibody too concentrated or TMB exposed to light,滴定检测抗体；TMB 避光保存和使用 / titrate the detection antibody; keep TMB in the dark,capture_detection_pair,sometimes,,drafted,model,,,
T0205,elisa,标准曲线不线性或 R² 低 / standard curve non-linear or low R²,标准品复溶错误、梯度稀释误差或 hook 效应 / standard reconstituted wrongly or dilution error or hook effect,用新标准品重新复溶；至少 5 个点加空白；仔细做梯度稀释 / reconstitute a fresh standard; at least five points plus blank; careful serial dilution,standard_curve,yes,elisa:standard_curve,drafted,checklist,,,
T0206,elisa,样本读数超出最高标准品 / sample readings above the top standard,样本浓度过高 / sample too concentrated,用相同稀释液稀释样本后重测 / dilute the sample in the same diluent and re-run,sample_diluent,sometimes,elisa:sample_diluent,drafted,checklist,,,
T0207,elisa,复孔 CV 高 / high CV between duplicates,移液误差、边缘效应、洗涤不彻底 / pipetting or edge effects or incomplete washing,避开边缘孔；统一加样时间；确认每孔洗净 / avoid edge wells; keep timing consistent; confirm complete washing,pipette_tips,no,,drafted,model,,,
T0208,elisa,阴性对照有信号 / signal in the negative control,非特异结合或交叉反应 / non-specific binding or cross-reactivity,确认抗体是验证过的配对；增加封闭剂；用与样本相同基质的阴性对照 / confirm a validated pair; add blocker; use a negative control in the sample matrix,negative_control,yes,elisa:negative_control,drafted,checklist,,,
T0209,elisa,夹心法有待测物却没有信号 / sandwich ELISA gives no signal although analyte is present,捕获与检测抗体不是验证配对或识别同一表位 / capture and detection antibodies not a validated pair or bind the same epitope,改用验证过的 matched pair（识别不同表位）/ switch to a validated matched pair that binds different epitopes,capture_detection_pair,yes,elisa:capture_detection_pair,drafted,checklist,,,
T0210,elisa,不同板或不同天结果不一致 / results differ between plates or days (different every time on a new plate),没有阳性对照，试剂盒批次变化无法察觉 / no positive control so lot changes go unnoticed,每块板加一个浓度落在曲线中段的阳性对照 / include a positive control near mid-curve on every plate,positive_control,yes,elisa:positive_control,drafted,checklist,,,
T0211,elisa,显色过快、全板饱和 / colour develops too fast and saturates,HRP 偶联物过多或显色时间过长 / too much HRP conjugate or too long a development,稀释偶联物；缩短 TMB 时间；及时加终止液 / dilute the conjugate; shorten TMB time; stop promptly,stop_solution,sometimes,,drafted,model,,,
T0212,elisa,板内出现颜色梯度 / colour gradient across the plate,温度梯度、未封板、边缘蒸发 / temperature gradient or unsealed plate or edge evaporation,封板；试剂平衡至室温再用；避免边缘孔 / seal the plate; equilibrate reagents to room temperature; avoid edge wells,elisa_plate,no,,drafted,model,,,
T0213,elisa,OD 无法扣除本底 / cannot subtract background from OD,没有做空白 / 零标准 / no blank or zero standard,每块板用相同稀释液做空白孔 / include a blank in the same diluent on every plate,blank_zero_standard,no,elisa:blank_zero_standard,drafted,checklist,,,
T0301,cell_culture_transfection,转染效率低 / low transfection efficiency,转染试剂与 DNA 比例不当或细胞密度不合适 / wrong reagent-to-DNA ratio or cells at the wrong density,优化试剂:DNA 比例；在 70–80% 汇合度时转染 / optimise the reagent-to-DNA ratio; transfect at 70–80% confluence,transfection_reagent,yes,,drafted,model,,,
T0302,cell_culture_transfection,转染效率低 / low transfection efficiency,质粒质量差（内毒素、A260/280 偏低）/ poor plasmid quality (endotoxin or low A260/280),用无内毒素质粒提取试剂盒重新制备 / re-prepare with an endotoxin-free plasmid kit,plasmid_dna,yes,,drafted,model,,,
T0303,cell_culture_transfection,转染后细胞大量死亡 / cells die after transfection,试剂毒性、DNA 过量或无血清时间过长 / reagent toxicity or too much DNA or too long in serum-free medium,减少试剂和 DNA 用量；4–6 h 后换含血清完全培养基 / reduce reagent and DNA; change to complete medium after 4–6 h,transfection_reagent,yes,,drafted,model,,,
T0304,cell_culture_transfection,转染后不表达 / no expression after transfection,启动子在该细胞系不活跃或质粒有误 / promoter inactive in this line or wrong plasmid,用 GFP 质粒作阳性对照；测序确认质粒；核对启动子 / run a GFP plasmid as a control; sequence the plasmid; check the promoter,plasmid_dna,sometimes,,drafted,model,,,
T0305,cell_culture_transfection,细胞生长缓慢 / cells grow slowly,培养基或血清批次不对、代次过高、支原体 / wrong medium or serum lot or high passage or mycoplasma,核对培养基配方和血清批次；复苏低代次冻存；做支原体检测 / check medium and serum lot; thaw a low-passage stock; test for mycoplasma,culture_medium,sometimes,,drafted,model,,,
T0306,cell_culture_transfection,贴壁细胞脱落 / adherent cells detach,胰酶消化过度、污染或板未经 TC 处理 / over-trypsinisation or contamination or plate not TC-treated,缩短胰酶时间；用 TC 处理培养板；检查污染 / shorten trypsin exposure; use TC-treated plates; check for contamination,trypsin,sometimes,,drafted,model,,,
T0307,cell_culture_transfection,培养基浑浊、变色 / medium cloudy or discoloured,细菌或真菌污染 / bacterial or fungal contamination,丢弃并消毒；短期加青链霉素；检查无菌操作 / discard and decontaminate; add pen-strep short-term; review aseptic technique,antibiotic,yes,,drafted,model,,,
T0308,cell_culture_transfection,培养基清亮但细胞状态差、长得慢 / medium clear but cells unhealthy and slow,支原体污染 / mycoplasma contamination,做支原体检测；阳性则处理或丢弃并换新冻存 / test for mycoplasma; treat or discard and thaw a fresh stock,mycoplasma_test,yes,,drafted,model,,,
T0309,cell_culture_transfection,细胞形态改变 / cells change morphology,代次过高、血清换批或支原体 / high passage or serum lot change or mycoplasma,复苏低代次冻存；固定血清批次 / thaw a low-passage stock; keep the serum lot constant,cell_line,yes,,drafted,model,,,
T0310,cell_culture_transfection,培养基很快变黄 / medium turns yellow quickly,细胞过密、污染或代谢负荷高 / over-confluent or contaminated or high metabolic load,更频繁传代或换液；排查污染 / passage or feed more often; rule out contamination,culture_medium,sometimes,,drafted,model,,,
T0311,cell_culture_transfection,培养基变紫红 / medium turns pink or purple,CO2 不足或培养箱故障 / low CO2 or incubator fault,检查培养箱 CO2 和培养基缓冲体系 / check incubator CO2 and the medium buffer system,culture_medium,no,,drafted,model,,,
T0312,cell_culture_transfection,同一方法在某些细胞系有效、另一些无效 / works in one cell line but not another,难转染细胞系（原代、悬浮）/ hard-to-transfect line (primary or suspension),改用针对该细胞类型的脂质体试剂、电转或病毒载体 / switch to a line-specific lipid reagent or electroporation or viral delivery,transfection_reagent,yes,,drafted,model,,,
T0313,cell_culture_transfection,板内转染不均匀 / uneven transfection across the plate,复合物未混匀或细胞成团 / complexes not mixed or cells clumped,复合物逐滴加入并轻摇；铺板时确保单细胞悬液 / add complexes dropwise and rock; seed as a single-cell suspension,transfection_reagent,no,,drafted,model,,,
